make,line,style,model,year,edition,power_engine,power_displacement,power_bore_x_stroke,power_compression_ratio,power_maximum_horsepower,power_maximum_torque,power_fuel_system,power_ignition,power_transmission,power_final_drive,power_electronic_rider_aids,performance_front_suspension__wheel_travel,performance_rear_suspension__wheel_travel,performance_front_tire,performance_rear_tire,performance_front_brakes,performance_rear_brakes,details_frame_type,details_raketrail,details_overall_length,details_overall_width,details_overall_height,details_ground_clearance,details_seat_height,details_dry_weight,details_curb_weight,details_fuel_capacity,details_wheelbase,details_special_features,details_color_choices
Kawasaki,ninja,sport,ninja-500,2025,ninja-500,"4-stroke, Parallel Twin, DOHC, liquid-cooled",451cc,70.0 x 58.6mm,11.3:1,"51.0 hp¹ @ 10,000 rpm","31.7 lb-ft @ 7,500 rpm",DFI® with dual 32mm throttle bodies,TCBI with Digital Advance,6-speed,Sealed chain,"Economical Riding Indicator, Anti-lock Brake System (ABS only)",41mm hydraulic telescopic fork/4.7 in,Horizontal back-link with adjustable spring preload/5.1 in,110/70-17,150/60-17,Single 310mm semi-floating disc with 2-piston calipers (and ABS),Single 220mm disc with single-piston caliper (and ABS),"Trellis, high-tensile steel",24.5°/3.6 in,78.5 in,28.7 in,44.1 in,5.7 in,30.9 in,"344.0 lb** (ABS) / 346.2 lb** (ABS) 50-State Model, 339.6 lb** (non-ABS) / 341.8 lb** (non-ABS) 50-State Model","374.9 lb*(ABS) / 377.1 lb* (ABS) 50-State Model, 370.4 lb* (non-ABS) / 372.6 lb* (non-ABS) 50-State Model",3.7 gal,54.1 in,"ERGO-FIT®, LCD Instrumentation with Smartphone Connectivity via RIDEOLOGY THE APP","Metallic Matte Whitish Silver/Metallic Moondust Gray, Passion Red/Metallic Flat Spark Black/Metallic Matte Dark Gray, Metallic Flat Spark Black/Metallic Spark Black/Metallic Moondust Gray"
Kawasaki,ninja,sport,ninja-500,2025,ninja-500-krt-edition,"4-stroke, Parallel Twin, DOHC, liquid-cooled",451cc,70.0 x 58.6mm,11.3:1,"51.0 hp¹ @ 10,000 rpm","31.7 lb-ft @ 7,500 rpm",DFI® with dual 32mm throttle bodies,TCBI with Digital Advance,6-speed,Sealed chain,Economical Riding Indicator,41mm hydraulic telescopic fork/4.7 in,Horizontal back-link with adjustable spring preload/5.1 in,110/70-17,150/60-17,Single 310mm semi-floating disc with 2-piston calipers,Single 220mm disc with single-piston caliper,"Trellis, high-tensile steel",24.7°/3.6 in,78.5 in,28.7 in,44.1 in,5.7 in,30.9 in,339.6 lb** / 341.8 lb** 50-State Model,370.4 lb* / 372.6 lb* 50-State Model,3.7 gal,54.1 in,"ERGO-FIT®, LCD Instrumentation with Smartphone Connectivity via RIDEOLOGY THE APP",Lime Green/Ebony/Pearl Blizzard White
Kawasaki,ninja,sport,ninja-500,2025,ninja-500-se-abs,"4-stroke, Parallel Twin, DOHC, liquid-cooled",451cc,70.0 x 58.6mm,11.3:1,"51.0 hp¹ @ 10,000 rpm","31.7 lb-ft @ 7,500 rpm",DFI® with dual 32mm throttle bodies,TCBI with Digital Advance,6-speed,Sealed chain,"Economical Riding Indicator, Anti-lock Brake System (ABS)",41mm hydraulic telescopic fork/4.7 in,Horizontal back-link with adjustable spring preload/5.1 in,110/70-17,150/60-17,Single 310mm semi-floating disc with 2-piston calipers and ABS,Single 220mm disc with single-piston caliper and ABS,"Trellis, high-tensile steel",24.7°/3.6 in,78.5 in,28.7 in,46.5 in,5.7 in,30.9 in,348.4 lb** / 350.6 lb** 50-State Model,379.3 lb* / 381.5 lb* 50-State Model,3.7 gal,54.1 in,"ERGO-FIT®, Full-color TFT Instrumentation with Smartphone Connectivity via RIDEOLOGY THE APP, Kawasaki's Intelligent Proximity Activation Start System (KIPASS), USB-C outlet","Metallic Flat Spark Black/Metallic Spark Black/Metallic Moondust Gray, Passion Red/Metallic Flat Spark Black/Metallic Matte Dark Gray"
Kawasaki,ninja,sport,ninja-500,2025,ninja-500-se-krt-edition-abs,"4-stroke, Parallel Twin, DOHC, liquid-cooled",451cc,70.0 x 58.6mm,11.3:1,"51.0 hp¹ @ 10,000 rpm","31.7 lb-ft @ 7,500 rpm",DFI® with dual 32mm throttle bodies,TCBI with Digital Advance,6-speed,Sealed chain,"Economical Riding Indicator, Anti-lock Brake System (ABS)",41mm hydraulic telescopic fork/4.7 in,Horizontal back-link with adjustable spring preload/5.1 in,110/70-17,150/60-17,Single 310mm semi-floating disc with 2-piston calipers and ABS,Single 220mm disc with single-piston caliper and ABS,"Trellis, high-tensile steel",24.7°/3.6 in,78.5 in,28.7 in,46.5 in,5.7 in,30.9 in,348.4 lb** / 350.6 lb** 50-State Model,379.3 lb* / 381.5 lb* 50-State Model,3.7 gal,54.1 in,"ERGO-FIT®, Full-color TFT Instrumentation with Smartphone Connectivity via RIDEOLOGY THE APP, Kawasaki's Intelligent Proximity Activation Start System (KIPASS), USB-C outlet",Lime Green/Ebony/Pearl Blizzard White
Kawasaki,ninja,sport,ninja-500,2024,ninja-500-se-40th-anniversary-edition-abs,"4-stroke, Parallel Twin, DOHC, liquid-cooled",451cc,70.0 x 58.6mm,11.3:1,"51.0 hp¹ @ 10,000 rpm","31.7 lb-ft @ 7,500 rpm",DFI® with dual 32mm throttle bodies,TCBI with Digital Advance,6-speed,Sealed chain,"Economical Riding Indicator, Anti-lock Brake System (ABS)",41mm hydraulic telescopic fork/4.7 in,Horizontal back-link with adjustable spring preload/5.1 in,110/70-17,150/60-17,Single 310mm semi-floating disc with 2-piston calipers and ABS,Single 220mm disc with single-piston caliper and ABS,"Trellis, high-tensile steel",24.7°/3.6 in,78.5 in,28.7 in,46.5 in,5.7 in,30.9 in,348.4 lb** / 350.6 lb** 50-State Model,379.3 lb* / 381.5 lb* 50-State Model,3.7 gal,54.1 in,"ERGO-FIT®, Full-color TFT Instrumentation with Smartphone Connectivity via RIDEOLOGY THE APP, Kawasaki's Intelligent Proximity Activation Start System (KIPASS), USB-C outlet",Lime Green/Pearl Crystal White/Blue
Kawasaki,ninja,sport,ninja-650,2025,ninja-650,"4-stroke, parallel twin, DOHC, 8-valve, liquid cooled",649cc,83.0 x 60.0mm,10.8:1,"67.0 hp¹ @ 8,000 rpm","48.5 lb-ft @ 6,700 rpm",DFI® with dual 36mm Keihin throttle bodies,TCBI with Electronic Advance,6-speed,Sealed chain,"Kawasaki TRaction Control (KTRC), Anti-lock Brake System (ABS only)",41mm hydraulic telescopic fork/4.9 in,Horizontal back-link with adjustable spring preload/5.1 in,120/70 x 17,160/60 x 17,Dual 300mm petal-type discs and 2-piston calipers (and ABS),Single 220mm petal-type disc and single-piston caliper (and ABS),"Trellis, high-tensile steel",24.0°/3.9 in,80.9 in,29.1 in,45.1 in,5.1 in,31.1 in,,"423.4 lb* (ABS), 421.2 lb* (non-ABS)",4.0 gal,55.5 in,,"Candy Steel Furnace Orange/Metallic Spark Black/Metallic Royal Purple, Metallic Matte Old School Green/Metallic Spark Black, Metallic Spark Black/Metalic Flat Spark Black"
Kawasaki,ninja,sport,ninja-650,2025,ninja-650-krt-edition,"4-stroke, parallel twin, DOHC, 8-valve, liquid cooled",649cc,83.0 x 60.0mm,10.8:1,"67.0 hp¹ @ 8,000 rpm","48.5 lb-ft @ 6,700 rpm",DFI® with dual 36mm Keihin throttle bodies,TCBI with electronic advance,6-speed,Sealed chain,"Kawasaki TRaction Control (KTRC), Anti-lock Brake System (ABS only)",41mm hydraulic telescopic fork/4.9 in,Horizontal back-link with adjustable spring preload/5.1 in,120/70 x 17,160/60 x 17,Dual 300mm petal-type discs and 2-piston calipers and ABS,Single 220mm petal-type disc and single-piston caliper and ABS,"Trellis, high-tensile steel",24.0°/3.9 in,80.9 in,29.1 in,45.1 in,5.1 in,31.1 in,,423.4 lb*,4.0 gal,55.5 in,,Lime Green/Ebony/Pearl Blizzard White
Kawasaki,ninja,sport,ninja-1000-abs,2024,ninja-1000sx-abs,"4-stroke, In-Line Four, DOHC, 16-valve, liquid-cooled","1,043cc",77.0 x 56.0mm,11.8:1,,,DFI® with 38mm Keihin throttle bodies (4) and oval sub-throttles,TCBI with Digital Advance,"6-speed, return shift",Sealed chain,"Economical Riding Indicator, Electronic Cruise Control, Kawasaki TRaction Control (KTRC), Kawasaki Intelligent anti-lock Brake System (KIBS), Power Modes, Kawasaki Cornering Management Function (KCMF), Kawasaki Quick Shifter (KQS) (Up-Down), IMU-Enhanced Chassis Orientation Awareness","41mm inverted cartridge fork with stepless compression and rebound damping, adjustable spring preload/4.7 in","Horizontal back-link with stepless rebound damping, remotely adjustable spring preload/5.7 in",120/70 ZR17,190/50 ZR17,"Dual 300mm discs with radial-mount 4-piston monobloc calipers, Kawasaki Intelligent anti-lock Brake System (KIBS)","Single 250mm disc with single-piston caliper, Kawasaki Intelligent anti-lock Brake System (KIBS)",Aluminum backbone,24.0°/3.9 in,82.7 in,32.5 in,46.9 / 48.2 (windshield High) in,5.3 in,32.3 in,,513.8 lb* / 516.0 lb* 50-State Model,5.0 gal,56.7 in,,Metallic Matte Graphite Gray/Metallic Diablo Black
Kawasaki,ninja,sport,ninja-1100sx,2025,ninja-1100sx-abs,"4-stroke, in-line 4-cylinder, DOHC, 16-valve, liquid-cooled","1,099cc",77.0 x 59.0mm,11.8:1,"134.0 hp¹  @ 9,000 rpm","83.2 lb-ft @ 7,600 rpm",DFI® with 38mm Electronic Throttle Valves,TCBI with Digital Advance,"6-speed, return shift with wet multi-disc manual Assist & Slipper Clutch",Sealed chain,"Economical Riding Indicator, Electronic Cruise Control, Kawasaki TRaction Control (KTRC), Kawasaki Intelligent anti-lock Brake System (KIBS), Anti-lock Brake System (ABS), Power Modes, Kawasaki Cornering Management Function (KCMF), Kawasaki Quick Shifter (KQS), IMU-Enhanced Chassis Orientation Awareness","41mm inverted telescopic Showa fork with compression and rebound damping, adjustable spring preload/4.7 in","Horizontal back-link, gas-charged rear shock with rebound damping, remotely adjustable spring preload/5.6 in",120/70-17,190/50-17,"Dual 300mm discs with radial-mount 4-piston monobloc calipers, Kawasaki Intelligent anti-lock Brake System (KIBS)","Single 260mm disc with single-piston caliper, Kawasaki Intelligent anti-lock Brake System (KIBS)",Twin-spar aluminum,24.0°/3.9 in,82.7 in,31.7 in,46.9 in/48.2 in w/ windshield high,5.3 in,32.3 in,471.9 lb**,518.2 lb*,5.0 gal,56.7 in,"4.3"" All-digital TFT Instrumentation, All-LED lighting, USB Type-C outlet, Smartphone Connectivity with Voice Command via RIDEOLOGY THE APP MOTORCYCLE",Metallic Carbon Gray/Metallic Diablo Black
Kawasaki,ninja,sport,ninja-1100sx,2025,ninja-1100sx-se-abs,"4-stroke, in-line 4-cylinder, DOHC, 16-valve, liquid-cooled","1,099cc",77.0 x 59.0mm,11.8:1,"134.0 hp¹  @ 9,000 rpm","83.2 lb-ft @ 7,600 rpm",DFI® with 38mm Electronic Throttle Valves,TCBI with Digital Advance,"6-speed, return shift with wet multi-disc manual Assist & Slipper Clutch",Sealed chain,"Economical Riding Indicator, Electronic Cruise Control, Kawasaki TRaction Control (KTRC), Kawasaki Intelligent anti-lock Brake System (KIBS), Anti-lock Brake System (ABS), Power Modes, Kawasaki Cornering Management Function (KCMF), Kawasaki Quick Shifter (KQS), IMU-Enhanced Chassis Orientation Awareness","41mm inverted telescopic Showa fork with compression and rebound damping, adjustable spring preload/4.7 in","Horizontal back-link, Öhlins S46 gas-charged rear shock with rebound damping, remotely adjustable spring preload/5.6 in",120/70-17,190/50-17,"Dual 300mm discs with radial-mount 4-piston Brembo M4.32 monobloc calipers, Kawasaki Intelligent anti-lock Brake System (KIBS)","Single 260mm disc with single-piston caliper, Kawasaki Intelligent anti-lock Brake System (KIBS)",Twin-spar aluminum,24.0°/3.9 in,82.7 in,31.7 in,46.9 in/48.2 in w/ windshield high,5.3 in,32.3 in,469.7 lb**,516.0 lb*,5.0 gal,56.7 in,"4.3"" All-digital TFT Instrumentation, All-LED lighting, USB Type-C outlet, Grip heaters, Smartphone Connectivity with Voice Command via RIDEOLOGY THE APP MOTORCYCLE",Emerald Blazed Green/Metallic Diablo Black
